ID,ID2,Final URL,Image URL,Item title,Item subtitle,Item description,Item address,Item category,Price,Formatted price,Sale price,Formatted sale price,Contextual keywords,Tracking template,Android app link,iOS app link,iOS app store ID,Similar IDs,Status
194147,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T380/vin-2NK4HJ7X9TM194147/,https://d8lxo54bt1xl7.cloudfront.net/prd/194147/068Ux00000omOJVIA2,2026 Kenworth T380,New | Dump Truck,"2026 Kenworth T380 w/10' Bibeau dump/pintle, PX9, Allison 3000RDS","6425 East State Road 42, Terre Haute, IN, 47803, United States",Dump Truck,139900.00 USD,,,,Dump Truck; Cab & Chassis; New; Kenworth; T380; Class 7; Diesel; Automatic; PACCAR; PX-9,,,,,,Eligible
209408,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T480/vin-2NK5HJ8X7TM209408/,https://d8lxo54bt1xl7.cloudfront.net/prd/209408/068Ux00000bS5AlIAK,2026 Kenworth T480,New | Cab & Chassis,"2026 Kenworth T480, Cab & Chassis for Plow/Muni/Dump, PX9, Allison 3500RDS","7740 Center Point 70 Blvd., Dayton, OH, 45424, United States",Cab & Chassis,131600.00 USD,,,,Cab & Chassis; Municipal; New; Kenworth; T480; Class 8; Diesel; Automatic; PACCAR; PX-9,,,,,,Eligible
194234,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T280/vin-2NK3HM6X6TM194234/,https://d8lxo54bt1xl7.cloudfront.net/prd/194234/068Ux00000nfAfCIAU,2026 Kenworth T280,New | Roll Back,"2026 Kenworth T280 w/21' Steel rollback wrecker bed, PX-7, Allison 3000RDS","9704 E. 30th St., Indianapolis, IN, 46229, United States",Roll Back,151800.00 USD,,,,Roll Back; Cab & Chassis; New; Kenworth; T280; Class 6; Diesel; Automatic; PACCAR; PX-7,,,,,,Eligible
194235,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T280/vin-2NK3HM6X8TM194235/,https://d8lxo54bt1xl7.cloudfront.net/prd/194235/068Ux00000nv6NuIAI,2026 Kenworth T280,New | Box Truck,"2026 Kenworth T280, Cab & Chassis for 26' Box Truck, PX7, 325hp, Allison Automatic","9704 E. 30th St., Indianapolis, IN, 46229, United States",Box Truck,143400.00 USD,,,,Box Truck; Cab & Chassis; New; Kenworth; T280; Class 6; Diesel; Automatic; PACCAR; PX-7,,,,,,Eligible
205428,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T880/vin-1NKZLK0X3TJ205428/,https://d8lxo54bt1xl7.cloudfront.net/prd/205428/068Ux00000lEbnqIAC,2026 Kenworth T880,New | Municipal,"2026 Kenworth T880S, Cab & Chassis with HARD POINT plow mounts, MX11, 400hp, 4500RDS","9704 E. 30th St., Indianapolis, IN, 46229, United States",Municipal,297900.00 USD,,,,Municipal; Cab & Chassis; Plow Truck; New; Kenworth; T880; Class 8; Diesel; Automatic; PACCAR; MX-11,,,,,,Eligible
152872A,,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-T680/vin-1XKYD49X3SJ152872/,https://d8lxo54bt1xl7.cloudfront.net/prd/152872A/068Ux00000KaAGfIAN,2025 Kenworth T680,New | Custom Sleeper,"2025 Kenworth T680, 120"" ARI Custom Sleeper, X15, 500HP, 12spd AMT, Generator, Roof A/C, Fridge, Microwave/Convection Oven","3535 Coliseum Blvd W, Fort Wayne, IN, 46808, United States",Custom Sleeper,347055.00 USD,,,,Custom Sleeper; New; Kenworth; T680; Class 8; Diesel; Automated Manual; Cummins; X15,,,,,,Eligible
152901A,,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-W900/vin-1XKWD49X5SR152901/,https://d8lxo54bt1xl7.cloudfront.net/prd/152901A/068Ux00000KaQTXIA3,2025 Kenworth W900,New | Custom Sleeper,"2025 Kenworth W900L, 156"" ARI Custom Sleeper, X15 525hp, 18 Speed Manual, Rear Door, Onan Generator, Roof A/C, Fridge, Microwave/Convection Oven, Dinette, 43"" Smart TV, Shower, Toilet","6503 N. Old US 27, Fremont, IN, 46737, United States",Custom Sleeper,397653.00 USD,,,,Custom Sleeper; New; Kenworth; W900; Class 8; Diesel; Manual; Cummins; X15,,,,,,Eligible
208838,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T480V/vin-2NK5HJ8X5TM208838/,https://d8lxo54bt1xl7.cloudfront.net/prd/208838/068Ux00000SL32sIAD,2026 Kenworth T480V,New | Cab & Chassis,"2026 Kenworth T480V Heavy Single Axle Cab & Chassis for Plow / Dump / Municipal Application, 84"" Cab to Axle, PX9, Allison Automatic","7740 Center Point 70 Blvd., Dayton, OH, 45424, United States",Cab & Chassis,131600.00 USD,,,,Cab & Chassis; Municipal; New; Kenworth; T480V; Class 8; Diesel; Automatic; PACCAR; PX-9,,,,,,Eligible
182666A,,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-T880/vin-1XKZD49X1SJ182666/,https://d8lxo54bt1xl7.cloudfront.net/prd/182666A/068Ux00000O0z2WIAR,2025 Kenworth T880,New | Custom Sleeper,"2025 Kenworth T880, 180"" ARI Custom Sleeper, X15, 18 Speed AMT","3535 Coliseum Blvd W, Fort Wayne, IN, 46808, United States",Custom Sleeper,399351.00 USD,,,,Custom Sleeper; New; Kenworth; T880; Class 8; Diesel; Automated Manual; Cummins; X15,,,,,,Eligible
216068,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T280/vin-2NK3HM6X6TM216068/,https://d8lxo54bt1xl7.cloudfront.net/prd/216068/068Ux00000VL5HOIA1,2026 Kenworth T280,New | Box Truck,"2026 Kenworth T280, 26' Box Truck, 26K GVWR, PX7, 250hp, Allison 2500RDS","4330 Poplar Level Rd, Louisville, KY, 40213, United States",Box Truck,142800.00 USD,,,,Box Truck; Cab & Chassis; New; Kenworth; T280; Class 6; Diesel; Automatic; PACCAR; PX-7,,,,,,Eligible
219335,,https://www.palmertrucks.com/truck-details/category-Sleeper/make-Kenworth/model-T680/vin-1XKYDP9X2TJ219335/,https://d8lxo54bt1xl7.cloudfront.net/prd/219335/068Ux00000SPHyQIAX,2026 Kenworth T680,New | Sleeper,"2026 Kenworth T680, 76"" High-Roof, MX13, 12 Speed AMT, Double Bunk, Fridge, Inverter","9704 E. 30th St., Indianapolis, IN, 46229, United States",Sleeper,173900.00 USD,,,,Sleeper; New; Kenworth; T680; Class 8; Diesel; Automated Manual; PACCAR; MX-13,,,,,,Eligible
T1003351,,https://www.palmertrucks.com/truck-details/category-Trailer:-Drop-Deck/make-Extreme/model-XS/vin-7VGAB5322T1003351/,https://d8lxo54bt1xl7.cloudfront.net/prd/T1003351/068Ux00000RwiUAIAZ,2026 Extreme XS,New | Trailer,"2026 Extreme XS, Drop Deck Trailer, Includes Ramps","4330 Poplar Level Rd, Louisville, KY, 40213, United States",Trailer,82800.00 USD,,,,Trailer; Trailer: Drop Deck; New; Extreme; XS,,,,,,Eligible
219336,,https://www.palmertrucks.com/truck-details/category-Sleeper/make-Kenworth/model-T680/vin-1XKYDP9X4TJ219336/,https://d8lxo54bt1xl7.cloudfront.net/prd/219336/068Ux00000TRxrVIAT,2026 Kenworth T680,New | Sleeper,"2026 Kenworth T680, 76"" High-Roof, MX13, 12 Speed AMT, Double Bunk, Fridge, Inverter","1040 E. Mount Pleasant Rd., Evansville, IN, 47725, United States",Sleeper,175900.00 USD,,,,Sleeper; New; Kenworth; T680; Class 8; Diesel; Automated Manual; PACCAR; MX-13,,,,,,Eligible
219339,,https://www.palmertrucks.com/truck-details/category-Sleeper/make-Kenworth/model-T680/vin-1XKYDP9XXTJ219339/,https://d8lxo54bt1xl7.cloudfront.net/prd/219339/068Ux00000TezFUIAZ,2026 Kenworth T680,New | Sleeper,"2026 Kenworth T680, 76"" High-Roof, MX13, 12 Speed AMT, Double Bunk, Fridge, Inverter","6503 N. Old US 27, Fremont, IN, 46737, United States",Sleeper,175900.00 USD,,,,Sleeper; New; Kenworth; T680; Class 8; Diesel; Automated Manual; PACCAR; MX-13,,,,,,Eligible
223018,,https://www.palmertrucks.com/truck-details/category-Day-Cab/make-Kenworth/model-T680/vin-1XKYDP9XXTJ223018/,https://d8lxo54bt1xl7.cloudfront.net/prd/223018/068Ux00000YWZlRIAX,2026 Kenworth T680,New | Day Cab,2026 Kenworth T680 -Mx13 485 / 1650 - Eaton 12 SPD,"2929 South Holt RD., Indianapolis, IN, 46241, United States",Day Cab,167200.00 USD,,,,Day Cab; TRUCK; New; Kenworth; T680; Class 8; Diesel; Automated Manual; PACCAR; MX-13,,,,,,Eligible
223310,,https://www.palmertrucks.com/truck-details/category-Day-Cab/make-Kenworth/model-T680/vin-1XKYD49X8TJ223310/,https://d8lxo54bt1xl7.cloudfront.net/prd/223310/068Ux00000WZnczIAD,2026 Kenworth T680,New | Day Cab,"2026 Kenworth T680, Day Cab, Cummins X15, 450HP, Eaton 10 Speed Manual","6425 East State Road 42, Terre Haute, IN, 47803, United States",Day Cab,165300.00 USD,,,,Day Cab; TRUCK; New; Kenworth; T680; Class 8; Diesel; Manual; Cummins; X15,,,,,,Eligible
224683,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T880/vin-1NKZL40XXTJ224683/,https://d8lxo54bt1xl7.cloudfront.net/prd/224683/068Ux00000pHu0SIAS,2026 Kenworth T880,New | Roll Off,"2026 Kenworth T880, Tri-Axle Roll-Off, X15, 500hp, Allison 4500RDS","4330 Poplar Level Rd, Louisville, KY, 40213, United States",Roll Off,279900.00 USD,,,,Roll Off; Cab & Chassis; Roll-Off; TRUCK; New; Kenworth; T880; Class 8; Diesel; Automatic; Cummins; X15,,,,,,Eligible
198262A,,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-T680/vin-1XKYD49X6TJ198262/,https://d8lxo54bt1xl7.cloudfront.net/prd/198262A/068Ux00000VIfUHIA1,2026 Kenworth T680,New | Custom Sleeper,"2026 Kenworth T680 Custom Sleeper, 120"" ARI Rear Bed, X15, 12 Speed AMT","3535 Coliseum Blvd W, Fort Wayne, IN, 46808, United States",Custom Sleeper,361868.00 USD,,,,Custom Sleeper; New; Kenworth; T680; Class 8; Diesel; Automated Manual; Cummins; X15,,,,,,Eligible
198263A,,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-T680/vin-1XKYD49X8TJ198263/,https://d8lxo54bt1xl7.cloudfront.net/prd/198263A/068Ux00000WN7RPIA1,2026 Kenworth T680,New | Custom Sleeper,"2026 Kenworth T680, 120"" ARI Custom Sleeper, X15, 500hp, 12 Speed AMT",,Custom Sleeper,356886.00 USD,,,,Custom Sleeper; New; Kenworth; T680; Class 8; Diesel; Automated Manual; Cummins; X15,,,,,,Eligible
198259A,,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-T680/vin-1XKYD49X6TJ198259/,https://d8lxo54bt1xl7.cloudfront.net/prd/198259A/068Ux00000WN5cXIAT,2026 Kenworth T680,New | Custom Sleeper,"2026 Kenworth T680, 156"" ARI, 500hp, 12 Speed AMT","6503 N. Old US 27, Fremont, IN, 46737, United States",Custom Sleeper,387769.00 USD,,,,Custom Sleeper; New; Kenworth; T680; Class 8; Diesel; Automated Manual; Cummins; X15,,,,,,Eligible
KJ254981A,,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-Kenworth/model-T880/vin-1NKZXPEX7KJ254981/,https://d8lxo54bt1xl7.cloudfront.net/prd/KJ254981A/068Ux00000XllADIAZ,2019 Kenworth T880,Used | Dump Truck,"2019 Kenworth T880, Tri-Axle Dump,","2929 South Holt RD., Indianapolis, IN, 46241, United States",Dump Truck,129900.00 USD,,,,Dump Truck; Used; Kenworth; T880; Class 8; Diesel; Manual; PACCAR; MX13,,,,,,Eligible
KJ255487,,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-Kenworth/model-T880/vin-1NKZLK0X7KJ255487/,https://d8lxo54bt1xl7.cloudfront.net/prd/KJ255487/068Ux00000mSxsjIAC,2019 Kenworth T880,Used | Dump Truck,"Used, 2019 Kenworth T880, Dump Truck, MX11, 430 HP, Automated Manual","6425 East State Road 42, Terre Haute, IN, 47803, United States",Dump Truck,119900.00 USD,,,,Dump Truck; Used; Kenworth; T880; Automated Manual; PACCAR; MX11,,,,,,Eligible
229273,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T880/vin-1NKZXPTX3TJ229273/,https://d8lxo54bt1xl7.cloudfront.net/prd/229273/068Ux00000wTY6YIAW,2026 Kenworth T880,New | Dump Truck,"2026 Kenworth T880 Quad Axle Dump, w/ Heritage 19' dump Bed, Slide Tarp, MX13, 455hp, Allison Auto","7740 Center Point 70 Blvd., Dayton, OH, 45424, United States",Dump Truck,258600.00 USD,,,,Dump Truck; Cab & Chassis; TRUCK; New; Kenworth; T880; Class 8; Diesel; Automatic; PACCAR; MX-13,,,,,,Eligible
214892A,,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-W990/vin-1XK1D49X9TJ214892/,https://d8lxo54bt1xl7.cloudfront.net/prd/214892A/068Ux00000aNpJeIAK,2026 Kenworth W990,New | Custom Sleeper,"2026 Kenworth W990, 156"" ARI Custom Sleeper, X15, 565hp, 18 Speed AMT","6503 N. Old US 27, Fremont, IN, 46737, United States",Custom Sleeper,402667.00 USD,,,,Custom Sleeper; New; Kenworth; W990; Class 8; Diesel; Automated Manual; Cummins; X15,,,,,,Eligible
PN221816,,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-International/model-HX620/vin-3HTPCAPTXPN221816/,https://d8lxo54bt1xl7.cloudfront.net/prd/PN221816/068Ux00000hTDU9IAO,2023 International HX620,Used | Dump Truck,"Used, 2023 International HX620, Dump Truck, X15, 525 HP, Automatic","3535 Coliseum Blvd W, Fort Wayne, IN, 46808, United States",Dump Truck,183900.00 USD,,,,Dump Truck; Used; International; HX620; Automatic; Cummins; X15,,,,,,Eligible
241913,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T880/vin-1NKZXPTX3VJ241913/,https://d8lxo54bt1xl7.cloudfront.net/prd/241913/068Ux00000o3CHiIAM,2027 Kenworth T880,New | Dump Truck,"2027 Kenworth T880, 6 Axle Dump, MX-13, 510hp, Allison 4500RDS, 200"" CA, 20k FA, 46k RA, (3) 10k L/A's, 21' Heritage Dump Body","7740 Center Point 70 Blvd., Dayton, OH, 45424, United States",Dump Truck,278900.00 USD,,,,Dump Truck; Cab & Chassis; TRUCK; New; Kenworth; T880; Class 8; Diesel; Automatic; PACCAR; MX-13,,,,,,Eligible
RJ307929,,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-T680/vin-1XKYD49X1RJ307929/,https://d8lxo54bt1xl7.cloudfront.net/prd/RJ307929/068Ux00000kujcmIAA,2024 Kenworth T680,Used | Custom Sleeper,"Used, 2024 Kenworth T680, Custom Sleeper, Cummins, Automated Manual","6503 N. Old US 27, Fremont, IN, 46737, United States",Custom Sleeper,214900.00 USD,,,,Custom Sleeper; Used; Kenworth; T680; Automated Manual; Cummins,,,,,,Eligible
RJ307930,,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-T680/vin-1XKYD49X1RJ307930/,https://d8lxo54bt1xl7.cloudfront.net/prd/RJ307930/068Ux00000kzz0uIAA,2024 Kenworth T680,Used | Custom Sleeper,"Used, 2024 Kenworth T680, Custom Sleeper, Cummins, Automated Manual","6503 N. Old US 27, Fremont, IN, 46737, United States",Custom Sleeper,209900.00 USD,,,,Custom Sleeper; Used; Kenworth; T680; Automated Manual; Cummins,,,,,,Eligible
252914,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T480/vin-1NK5HJ8X3VJ252914/,https://d8lxo54bt1xl7.cloudfront.net/prd/252914/068Ux00000qV1xyIAC,2027 Kenworth T480,New | Cab & Chassis,"2027 Kenworth T480V, Cab & Chassis for Dump and Plow, PX-9, 300hp, Allison 3500RDS. *PRICED WITH FET*","4330 Poplar Level Rd, Louisville, KY, 40213, United States",Cab & Chassis,139900.00 USD,,,,Cab & Chassis; Municipal; TRUCK; New; Kenworth; T480; Class 8; Diesel; Automatic; PACCAR; PX-9,,,,,,Eligible
EJ419801,,https://www.palmertrucks.com/truck-details/category-Roll-Off/make-Kenworth/model-T800/vin-1NKDX4EX7EJ419801/,https://d8lxo54bt1xl7.cloudfront.net/prd/EJ419801/068Ux00000ruJMRIA2,2014 Kenworth T800,Used | Roll Off,"X15450, 342,866 miles, RTO16908LL, 20K Front, 46K Dana Rear, 4.56 Ratio, 75G Fuel Tank, 2 Steerable 13.2 Pushers, 1 Tag axle. Galfab Rolloff Hoist, Model NOR75228T121, 75K Capacity, Flip Tarp System.","65 Partnership Way, Cincinnati, OH, 45241, United States",Roll Off,55000.00 USD,,,,Roll Off; Used; Kenworth; T800; Cummins,,,,,,Eligible
FJ419805,,https://www.palmertrucks.com/truck-details/category-Roll-Off/make-Kenworth/model-T800/vin-1NKDX4EX4FJ419805/,https://d8lxo54bt1xl7.cloudfront.net/prd/FJ419805/068Ux00000ruc0UIAQ,2015 Kenworth T800,Used | Roll Off,"X15450, 459,637 miles, RTO16908LL, 20K Front, 46K Dana Rear, 4.56 Ratio, 75G Fuel Tank, 2 Steerable 13.2 Pushers, 1 Tag axle. Galfab Rolloff Hoist, Model NOR75228T121, 75K Capacity, Flip Tarp System.","7740 Center Point 70 Blvd., Dayton, OH, 45424, United States",Roll Off,55000.00 USD,,,,Roll Off; Used; Kenworth; T800; Cummins,,,,,,Eligible
FJ419807,,https://www.palmertrucks.com/truck-details/category-Roll-Off/make-Kenworth/model-T800/vin-1NKDX4EX8FJ419807/,,2015 Kenworth T800,Used | Roll Off,"X15450, 308,475 miles, RTO16908LL, 20K Front, 46K Dana Rear, 4.56 Ratio, 75G Fuel Tank, 2 Steerable 13.2 Pushers, 1 Tag axle. Galfab Rolloff Hoist, Model NOR75228T121, 75K Capacity, Flip Tarp System.","65 Partnership Way, Cincinnati, OH, 45241, United States",Roll Off,55000.00 USD,,,,Roll Off; Used; Kenworth; T800; Cummins,,,,,,Eligible
252622,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T880/vin-1NKZXPTX3VJ252622/,https://d8lxo54bt1xl7.cloudfront.net/prd/252622/068Ux00000qH298IAC,2027 Kenworth T880,New | Dump Truck,"2027 Kenworth T880, Tri-Axle Dump, MX-13, 455hp, Allison 4500RDS, 16' BeauRoc DL","3535 Coliseum Blvd W, Fort Wayne, IN, 46808, United States",Dump Truck,252629.00 USD,,,,Dump Truck; Cab & Chassis; TRUCK; New; Kenworth; T880; Class 8; Diesel; Automatic; PACCAR; MX-13,,,,,,Eligible
252623,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T880/vin-1NKZXPTX5VJ252623/,https://d8lxo54bt1xl7.cloudfront.net/prd/252623/068Ux00000pqPt6IAE,2027 Kenworth T880,New | Dump Truck,"2027 Kenworth T880, Cab & Chassis for Tri-Axle Dump, MX-13, 455hp, Allison 4500RDS, 16' BeauRoc DL","3535 Coliseum Blvd W, Fort Wayne, IN, 46808, United States",Dump Truck,252629.00 USD,,,,Dump Truck; Cab & Chassis; TRUCK; New; Kenworth; T880; Class 8; Diesel; Automatic; PACCAR; MX-13,,,,,,Eligible
